Scenario,Total_Costs,Total_QALYs,Life_Years,Incremental_Costs,Incremental_QALYs,ICER
Baseline (Natural History),1229453.516052564,5.872211980486357,17.05366194495257,0.0,0.0,Reference
Permanent Stabilization,3487890.16574235,12.75164406273817,36.84242176782349,2258436.649689786,6.879432082251814,"$328,288/QALY"
Waning Effect (Average),3997764.3230154184,8.092359159326099,20.674914666554756,2768310.806962854,2.220147178839742,"$1,246,904/QALY"
