iteration,project_succeeded,total_rd_cost_millions,total_rd_duration_years,prv_obtained,prv_value_millions,odd_obtained,annual_rd_costs_stream_M,annual_commercial_revenues_M,annual_patients_treated,annual_commercial_ebit_M,annual_commercial_net_cash_flow_M,full_project_cash_flow_stream_M,npv_usd_millions,launch_year_w1,rnpv_at_preclinical_start,rnpv_at_phase1_2_start,rnpv_at_phase3_start,rnpv_at_regulatory_start,rnpv_at_launch,cost_preclinical_M,duration_preclinical_yrs,cost_phase1_2_M,duration_phase1_2_yrs,cost_phase3_M,duration_phase3_yrs,cost_regulatory_M,duration_regulatory_yrs,odd_tax_credit_millions,wave1_annual_sales_M,wave1_annual_patients,wave1_launch_year,wave2_annual_sales_M,wave2_annual_patients,wave2_launch_year,wave3_annual_sales_M,wave3_annual_patients,wave3_launch_year
0,False,1.2367719019059795,1.8378720865264433,False,0.0,1,"[-0.6729368768222951, -0.5638350250836845]",[],[],[],[],"[-0.6729368768222951, -0.5638350250836845]",-1.1427993977253657,,,,,,,1.2367719019059795,1.8378720865264433,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,False,23.106890179237155,8.046146707995065,False,0.0,1,"[-1.136484327745112, -1.0198378942151527, -1.9355973825275714, -1.9355973825275714, -1.4850843292424651, -4.611599114033263, -4.611599114033263, -4.611599114033263, -1.7594915208794952]",[],[],[],[],"[-1.136484327745112, -1.0198378942151527, -1.9355973825275714, -1.9355973825275714, -1.4850843292424651, -4.611599114033263, -4.611599114033263, -4.611599114033263, -1.7594915208794952]",-10.260765602108556,,,,,,,2.1563222219602647,1.8973620395088102,5.356279094297608,2.7672485727910985,15.594288862979283,3.381536095695157,0.0,0.0,,,,,,,,,,
2,True,20.263490135764467,8.166424503325612,False,0.0,1,"[-0.9241489082449935, -0.9241489082449935, -0.19657780009787618, -1.922427952663084, -1.922427952663084, -0.4189320572497588, -4.77251584153795, -4.77251584153795, -3.5149566465441766, -0.8948382269805988]","[112.75843664662563, 133.669918626698, 96.92064861107657, 164.13726906726262, 201.87256567626468, 213.58393970275063, 162.779312501124, 213.73163944021223, 188.12962769859445, 225.9261711030939, 193.9271781835001, 183.53477285000133, 102.31584600692403, 125.62060674559086, 135.52338342106088]","[47, 47, 45, 69, 80, 82, 79, 78, 76, 97, 82, 78, 49, 55, 57]","[61.169354227408476, 74.1117159134716, 50.27334544222076, 94.42366477641463, 120.12817549133467, 106.61248004288149, 100.59476856072604, 109.78675279918963, 99.1887129421455, 124.94872783141561, 102.09487004338348, 88.06934908880282, 48.9810610176426, 69.37360999705484, 67.94620246588255]","[48.3237898396527, 58.548255571642564, 39.7159428993544, 74.59469517336755, 94.90125863815439, 84.22385923387637, 79.46986716297357, 86.73153471135981, 78.35908322429495, 98.70949498681833, 80.65494733427295, 69.57478578015423, 38.695038203937656, 54.805151897673326, 53.67749994804721]","[-0.9241489082449935, -0.9241489082449935, -0.19657780009787618, -1.922427952663084, -1.922427952663084, -0.4189320572497588, -4.77251584153795, -4.77251584153795, -3.5149566465441766, -0.8948382269805988, 48.3237898396527, 58.548255571642564, 39.7159428993544, 74.59469517336755, 94.90125863815439, 84.22385923387637, 79.46986716297357, 86.73153471135981, 78.35908322429495, 98.70949498681833, 80.65494733427295, 69.57478578015423, 38.695038203937656, 54.805151897673326, 53.67749994804721]",52.069135508412955,2033.0,38.66758194143882,71.69910041810164,138.80501100416225,277.90390020077405,371.6838259235854,2.044875616587863,2.212712257022721,4.263787962575927,2.2179182094545724,13.059988329620076,2.736499733736133,0.8948382269805988,0.9992943031121855,4.330944073049,"[112.75843664662563, 133.669918626698, 96.92064861107657, 149.00689260491546, 134.71453742930436, 157.71236038708423, 95.25068762599015, 127.04680000732155, 131.25690780687174, 121.13524885885309, 113.61112805192047, 82.79862817988185, 51.516883006715865, 72.10920887225907, 74.98550104010955]","[47, 47, 45, 62, 56, 62, 50, 48, 46, 48, 44, 39, 26, 29, 31]",2033.0,"[15.130376462347161, 67.15802824696031, 51.09291120455176, 62.3397165526299, 72.74199303121293, 48.819812643233696, 87.96012504036004, 63.19096034224343, 75.8792874278281, 31.56343930577841, 36.556089299584734, 40.62785818729566]","[7, 24, 18, 27, 25, 27, 42, 29, 28, 15, 17, 17]",2036.0,"[4.778668111114613, 5.188908322503936, 13.942846401677736, 8.052907248489015, 16.830797203880778, 17.12508978933622, 24.856857242291355, 19.23552369442975, 16.955308573747068, 19.910024193655662]","[2, 2, 5, 3, 7, 9, 11, 8, 9, 9]",2038.0
3,True,18.154885404969946,11.187058642405965,False,0.0,1,"[-1.6274309626900114, -1.0553587698113633, -1.025643095720007, -1.025643095720007, -1.025643095720007, -1.025643095720007, -0.18306885500254297, -2.4648965799265783, -2.4648965799265783, -2.4648965799265783, -2.4648965799265783, -1.1295895301866672, -0.1972785846930183]","[58.9854245948059, 106.72948533307947, 101.32463608694368, 188.69217933088936, 203.96637369911514, 223.02580981262255, 262.74405502631294, 238.07060222213804, 257.2592104723381, 135.88488254735375, 186.9136783446864, 148.3090299198459, 140.7715435894526, 144.4353558570499, 120.85490106986047]","[25, 41, 54, 78, 79, 92, 116, 101, 99, 60, 81, 69, 63, 60, 50]","[33.67116153973056, 58.727538982903326, 56.50812045706097, 99.95740744574064, 107.55795751274687, 108.90994737101049, 148.47875726546476, 130.74366635383723, 163.01924020499015, 72.97524216071227, 91.55342183665718, 84.67110702217707, 81.71347601072455, 85.02885795265836, 63.84508667338947]","[26.600217616387145, 46.39475579649363, 44.641415161078164, 78.96635188213511, 84.97078643507002, 86.03885842309829, 117.29821823971716, 103.28749641953141, 128.78519976194224, 57.65044130696269, 72.32720325095917, 66.89017454751988, 64.55364604847239, 67.1727977826001, 50.43761847197768]","[-1.6274309626900114, -1.0553587698113633, -1.025643095720007, -1.025643095720007, -1.025643095720007, -1.025643095720007, -0.18306885500254297, -2.4648965799265783, -2.4648965799265783, -2.4648965799265783, -2.4648965799265783, -1.1295895301866672, -0.1972785846930183, 26.600217616387145, 46.39475579649363, 44.641415161078164, 78.96635188213511, 84.97078643507002, 86.03885842309829, 117.29821823971716, 103.28749641953141, 128.78519976194224, 57.65044130696269, 72.32720325095917, 66.89017454751988, 64.55364604847239, 67.1727977826001, 50.43761847197768]",27.01114091340773,2036.0,18.749257989754625,34.05442535135661,100.16066416001888,278.40546139177303,364.879697565681,2.6827897325013748,1.648481437312057,4.285641237882571,4.178491773372713,10.98917584989298,4.458270557631393,0.1972785846930183,0.9018148740898018,3.8187042719438877,"[58.9854245948059, 106.72948533307947, 101.32463608694368, 140.36861493111468, 168.68491797814693, 168.5855987328278, 174.90086818945855, 152.7432676042218, 184.48261036267888, 82.92123116071014, 97.22792265838567, 71.71172564906416, 73.75449736974632, 82.88111862278014, 71.6179204333959]","[25, 41, 54, 57, 65, 65, 71, 58, 64, 35, 39, 35, 33, 35, 29]",2036.0,"[48.323564399774675, 35.2814557209682, 47.306531324218554, 81.02977131220887, 79.05213951994286, 59.82266948033355, 44.68183915725393, 69.6883719865429, 53.33608470042384, 52.5526928135459, 45.92101524996213, 33.48844846368057]","[21, 14, 24, 42, 40, 29, 21, 33, 25, 23, 18, 14]",2039.0,"[7.133679755576189, 6.8134155246454915, 6.275195097973342, 12.953930629325644, 8.281812229389685, 19.997383699757805, 23.261219570357888, 14.464353406160363, 15.633221984307621, 15.748532172784014]","[3, 3, 3, 6, 4, 9, 9, 7, 7, 7]",2041.0
4,False,1.211983664203653,2.373085828319928,False,0.0,1,"[-0.5107205351530418, -0.5107205351530418, -0.19054259389756945]",[],[],[],[],"[-0.5107205351530418, -0.5107205351530418, -0.19054259389756945]",-1.068642226876111,,,,,,,1.211983664203653,2.373085828319928,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
5,False,5.773373337574939,6.233105695306758,False,0.0,1,"[-0.6766803064358113, -0.6766803064358113, -0.2314171225510865, -1.0764507397293368, -1.0764507397293368, -1.0764507397293368, -0.9592433829642193]",[],[],[],[],"[-0.6766803064358113, -0.6766803064358113, -0.2314171225510865, -1.0764507397293368, -1.0764507397293368, -1.0764507397293368, -0.9592433829642193]",-3.2972046962296804,,,,,,,1.5847777354227093,2.341988854042464,4.18859560215223,3.891116841264294,0.0,0.0,0.0,0.0,,,,,,,,,,
6,True,25.499169174643498,10.527559226627877,False,0.0,1,"[-0.48260987226590635, -0.48260987226590635, -0.45163930414135867, -0.9537834931483214, -0.9537834931483214, -0.9537834931483214, -0.7118061013219781, -6.875429047391233, -6.875429047391233, -5.951243232653209, -0.8070522177677102]","[60.12475788947355, 99.87842386316403, 146.65317283237906, 132.39657456009112, 227.54471844251935, 203.3665581581355, 191.7432304087905, 257.21098085471743, 180.14011973026854, 178.03284906783642, 136.47287590215424, 169.17842129091898, 183.8645604210464, 146.1479532583638, 121.13607136235797]","[24, 40, 63, 63, 100, 90, 87, 98, 83, 79, 68, 64, 75, 63, 53]","[40.336081840142896, 58.24035524333516, 78.3502433843242, 72.39247944226432, 135.0598381488697, 107.68962265623037, 109.82629786711269, 133.40151291413142, 100.10732182068433, 114.56022531496072, 67.72159544611583, 91.53559202936114, 108.23034601460749, 81.34341635358902, 63.29692579823339]","[31.86550465371289, 46.009880642234776, 61.896692273616125, 57.19005875938881, 106.69727213760706, 85.074801898422, 86.76277531501903, 105.38719520216382, 79.08478423834063, 90.50257799881896, 53.5000604024315, 72.3131177031953, 85.50197335153992, 64.26129891933533, 50.004571380604375]","[-0.48260987226590635, -0.48260987226590635, -0.45163930414135867, -0.9537834931483214, -0.9537834931483214, -0.9537834931483214, -0.7118061013219781, -6.875429047391233, -6.875429047391233, -5.951243232653209, -0.8070522177677102, 31.86550465371289, 46.009880642234776, 61.896692273616125, 57.19005875938881, 106.69727213760706, 85.074801898422, 86.76277531501903, 105.38719520216382, 79.08478423834063, 90.50257799881896, 53.5000604024315, 72.3131177031953, 85.50197335153992, 64.26129891933533, 50.004571380604375]",41.38283895530954,2035.0,22.817441349511075,48.69383658058827,126.19732725521693,273.34515743020506,364.1960826775689,1.4168590486731714,2.9358269071887455,3.5731565807669425,3.746297358295009,19.702101327435674,2.8655813610513965,0.8070522177677102,0.979853600092726,5.818814477050654,"[60.12475788947355, 99.87842386316403, 146.65317283237906, 100.8948629747514, 194.08650945050297, 106.73111499223954, 130.9690197206855, 174.29564118445757, 100.27447157691074, 106.10163850348177, 82.02947162187944, 72.67486688446854, 83.58333092073222, 74.82867645239328, 71.5473832933542]","[24, 40, 63, 52, 85, 57, 59, 58, 50, 46, 44, 28, 30, 36, 30]",2035.0,"[31.501711585339716, 33.45820899201639, 88.54671093517466, 52.18051145688543, 73.57835521159099, 75.3329541099118, 54.974129386106384, 36.99177661365136, 73.90675653922081, 73.95038391633649, 45.687892612428506, 33.9896147069745]","[11, 15, 30, 25, 35, 31, 25, 17, 26, 35, 18, 15]",2038.0,"[8.088732230721298, 8.593699231219585, 9.336984458668876, 4.532694043446016, 16.957081178248274, 17.45162766662343, 22.596797867229633, 26.3308455839777, 25.631384193541994, 15.599073362029252]","[3, 3, 5, 2, 8, 7, 10, 10, 9, 8]",2040.0
7,True,21.649368731944193,10.260988891686385,False,0.0,1,"[-1.0997713754013858, -1.0997713754013858, -0.47601017144839447, -1.1632522160370222, -1.1632522160370222, -1.1632522160370222, -0.22846673880077964, -3.9502025335937856, -3.9502025335937856, -3.9502025335937856, -2.406628604483597, -0.9763711266675167, -0.021985090848707728]","[79.83842170812048, 97.54646402796931, 164.4659541375116, 177.76463633534087, 191.83311769377815, 171.9498718742389, 223.6650063451667, 159.67972883250826, 198.55233849277948, 196.83196030866154, 159.17307751573446, 182.68113590061725, 180.3172639961723, 134.25474184463087, 140.41159154408598]","[38, 37, 61, 85, 83, 71, 100, 73, 90, 85, 67, 72, 71, 59, 59]","[43.31895552003079, 51.65929220160949, 98.14322097624714, 103.40083875694334, 107.95277625964472, 91.15107438080273, 116.02107557425231, 77.89106976814125, 91.93032454681727, 112.25552725345773, 86.5985146656702, 102.52193272097978, 99.40848716494389, 66.12696477161603, 77.03826464421584]","[34.221974860824325, 40.8108408392715, 77.53314457123524, 81.68666261798523, 85.28269324511933, 72.00934876083416, 91.65664970365933, 61.53394511683159, 72.62495639198565, 88.6818665302316, 68.41282658587946, 80.99232684957403, 78.53270486030567, 52.240302169576665, 60.860229068930515]","[-1.0997713754013858, -1.0997713754013858, -0.47601017144839447, -1.1632522160370222, -1.1632522160370222, -1.1632522160370222, -0.22846673880077964, -3.9502025335937856, -3.9502025335937856, -3.9502025335937856, -2.406628604483597, -0.9763711266675167, -0.021985090848707728, 34.221974860824325, 40.8108408392715, 77.53314457123524, 81.68666261798523, 85.28269324511933, 72.00934876083416, 91.65664970365933, 61.53394511683159, 72.62495639198565, 88.6818665302316, 68.41282658587946, 80.99232684957403, 78.53270486030567, 52.240302169576665, 60.860229068930515]",26.375310546115806,2035.0,23.070324049570104,47.19793478776055,111.208243686635,269.1943916952384,361.7390223024301,2.6755529222511663,2.4328264783893507,3.7182233869118466,3.1964034417051206,14.257236205264954,3.6092418259612913,0.9983562175162244,1.0225171456306228,4.4938648980442,"[79.83842170812048, 97.54646402796931, 164.4659541375116, 142.01590549162046, 145.2754400492424, 129.49000963684867, 150.30680353467957, 103.7524197336328, 98.49409256228807, 101.77686871484872, 85.71684133243946, 105.99258320667501, 100.1371470713667, 77.61312748330462, 69.36414272026758]","[38, 37, 61, 69, 66, 52, 64, 47, 47, 42, 34, 38, 38, 30, 31]",2035.0,"[35.74873084372042, 46.55767764453573, 37.56427081500637, 63.97890485594207, 48.11768711468245, 82.26659552212016, 79.58286026723007, 56.43863540314685, 60.8981874527848, 57.589478854211364, 41.39717889636331, 51.40626525479827]","[16, 17, 17, 32, 23, 36, 36, 24, 27, 23, 22, 20]",2038.0,"[4.895591422383855, 9.379297954545061, 7.809621984193013, 17.791650408371247, 15.47223132658274, 17.017600780148154, 15.790365241157437, 22.59063807059424, 15.244435464962937, 19.641183569020118]","[2, 4, 3, 7, 7, 9, 7, 10, 7, 8]",2040.0
8,False,5.098115963490251,5.796720463162876,False,0.0,1,"[-0.8694959794954262, -0.8694959794954262, -0.08236129375434266, -0.8851337068457317, -0.8851337068457317, -0.8851337068457317, -0.6213615902078604]",[],[],[],[],"[-0.8694959794954262, -0.8694959794954262, -0.08236129375434266, -0.8851337068457317, -0.8851337068457317, -0.8851337068457317, -0.6213615902078604]",-3.154168046102977,,,,,,,1.8213532527451952,2.094723030004276,3.2767627107450554,3.7019974331586,0.0,0.0,0.0,0.0,,,,,,,,,,
9,True,20.08331847422087,11.11846822529856,True,87.57564692043636,1,"[-0.8196327507125798, -0.8196327507125798, -0.5030658260729245, -1.8652286839271859, -1.8652286839271859, -1.8652286839271859, -0.2239123196380225, -2.5899797865212273, -2.5899797865212273, -2.5899797865212273, -2.5899797865212273, -0.9561431870759947, -0.7930478492972272, -0.012278592845075174]","[121.2354133456758, 132.89670969174057, 101.58573179576008, 149.5547993711201, 199.44895127710046, 206.63041036868609, 235.57938852648155, 190.85183606151352, 207.57283200243424, 136.7621457372989, 174.99414986967315, 144.48473463292507, 145.117844492267, 185.7471614960477, 129.84472280545913]","[48, 48, 44, 61, 85, 97, 95, 92, 91, 66, 67, 72, 62, 74, 65]","[153.63708907675542, 67.09221700729196, 49.82578477599522, 86.45221905083494, 110.17097188912709, 101.93960799360738, 116.90258287163735, 94.84915149727237, 113.69190827632735, 64.54220378879478, 91.44382393181016, 81.0397537439913, 80.78136065411366, 96.95503815708402, 79.35240149469251]","[121.37330037063677, 53.002851435760654, 39.36236997303622, 68.29725305015961, 87.0350677924104, 80.53229031494983, 92.3530404685935, 74.93082968284517, 89.81660753829861, 50.98834099314787, 72.24062090613003, 64.02140545775313, 63.81727491674979, 76.59448014409638, 62.68839718080709]","[-0.8196327507125798, -0.8196327507125798, -0.5030658260729245, -1.8652286839271859, -1.8652286839271859, -1.8652286839271859, -0.2239123196380225, -2.5899797865212273, -2.5899797865212273, -2.5899797865212273, -2.5899797865212273, -0.9561431870759947, -0.7930478492972272, -0.012278592845075174, 121.37330037063677, 53.002851435760654, 39.36236997303622, 68.29725305015961, 87.0350677924104, 80.53229031494983, 92.3530404685935, 74.93082968284517, 89.81660753829861, 50.98834099314787, 72.24062090613003, 64.02140545775313, 63.81727491674979, 76.59448014409638, 62.68839718080709]",26.280537665578777,2036.0,23.821562161112666,49.19403462403055,118.4965113026551,319.91204077361067,428.8319760725645,2.142331327498084,2.61376979584523,5.8195983714195805,3.1200455051798697,11.316062333160904,4.369170134860494,0.8053264421423023,1.0154827894129668,4.283915176145121,"[121.2354133456758, 132.89670969174057, 101.58573179576008, 138.52596515766544, 179.12113613504863, 136.73299042477697, 154.6364100121904, 119.76447612327087, 96.9667585872373, 73.41032684171203, 92.27972702460085, 71.82074855763904, 78.24571319066034, 84.51590484429873, 62.458988267359935]","[48, 48, 44, 56, 75, 65, 62, 60, 42, 37, 37, 38, 34, 32, 35]",2036.0,"[11.028834213454662, 20.32781514205184, 63.9814261772793, 69.82990017234633, 62.472220811198085, 96.92369921058946, 51.48970265524647, 59.95643330931895, 56.66637259768521, 49.978648637949995, 77.47827630429683, 55.55025552695416]","[5, 10, 30, 28, 28, 43, 24, 21, 25, 21, 32, 24]",2039.0,"[5.915993766629812, 11.113078341944831, 8.61513912704456, 13.682374204607502, 11.862116240340415, 22.757989535753342, 15.99761347760083, 16.89348266365666, 23.752980347452176, 11.835479011145036]","[2, 5, 4, 6, 5, 9, 9, 7, 10, 6]",2041.0
