iteration,scenario,total_costs,total_qalys,life_years,time_to_eskd
94,Natural History,1740664.5483896811,15.118785655018112,29.51977375807735,25
94,Realistic Treatment,1980995.1699898639,23.861555662265804,44.229458274823564,100
95,Natural History,1824366.8760198075,18.151568907274736,33.78999478925418,33
95,Realistic Treatment,1478154.5506843682,28.275524279584793,46.50660879340948,100
96,Natural History,1368543.300659026,18.145200427375357,31.86434110442304,100
96,Realistic Treatment,1636603.1166174456,30.306347586798367,45.92689123137847,100
97,Natural History,1819759.1890345402,14.792937150473254,31.93408975338833,30
97,Realistic Treatment,1869702.0387197714,24.274917533386933,47.2968531071934,100
98,Natural History,2169967.996065898,13.703907309958183,30.5327197296197,28
98,Realistic Treatment,2092389.8331982356,27.937672108897743,50.6134959305183,100
99,Natural History,1914907.3159087466,15.138009001961615,28.32054788227064,25
99,Realistic Treatment,1686159.0312983328,27.368467019794778,42.63175001596952,100
