Utility_Scenario,CKD2_Utility,ESKD_Utility,Total_QALYs,Incremental_QALYs,ICER
Base Case,0.72,0.4,12.75164406273817,6.879432082251814,328288.23988484556
Pessimistic,0.65,0.3,11.51190088997196,6.781037941945933,333051.764202589
Optimistic,0.8,0.5,14.168493403042413,7.185020378985539,314325.7124635543
