Parameter,Low Value,High Value,ICER at Low,ICER at Base,ICER at High,Range,Base to Low Change,Base to High Change
discount_rate,0.0,0.07,116847.7145780865,309299.7607106616,3965316.964863111,3848469.2502850243,192452.04613257508,3656017.204152449
gene_therapy_cost,2000000.0,4000000.0,187493.9630799243,309299.7607106616,431105.5583413987,243611.59526147443,121805.7976307373,121805.79763073713
utility_CKD2,0.65,0.8,263813.9170861396,309299.7607106616,166917.71382240526,96896.20326373435,45485.84362452198,142382.04688825633
utility_ESKD,0.3,0.5,309299.7607106616,309299.7607106616,309299.7607106616,0.0,0.0,0.0
cost_ESKD,100000.0,200000.0,309299.7607106616,309299.7607106616,309299.7607106616,0.0,0.0,0.0
natural_decline_rate,3.0,5.0,309299.7607106616,309299.7607106616,309299.7607106616,0.0,0.0,0.0
