Parameter,Base_ICER,Low_Value,High_Value,Low_ICER,High_ICER,Low_Diff,High_Diff,Total_Range
utility_ESKD,309299.7607106616,0.3,0.5,309299.7607106616,309299.7607106616,0.0,0.0,0.0
cost_ESKD,309299.7607106616,100000.0,200000.0,309299.7607106616,309299.7607106616,0.0,0.0,0.0
natural_decline_rate,309299.7607106616,3.0,5.0,309299.7607106616,309299.7607106616,0.0,0.0,0.0
utility_CKD2,309299.7607106616,0.65,0.8,263813.9170861396,166917.71382240526,45485.84362452198,-142382.04688825633,96896.20326373435
gene_therapy_cost,309299.7607106616,2000000.0,4000000.0,187493.9630799243,431105.5583413987,121805.7976307373,121805.79763073713,243611.59526147443
discount_rate,309299.7607106616,0.0,0.07,116847.7145780865,3965316.964863111,192452.04613257508,3656017.204152449,3848469.2502850243
